Data Number,Motor 1 Position,Motor 2 Position,Motor 3 Position,Motor 4 Position,Frequency (MHz),Real Impedance (Ohms),Imaginary Impedance (Ohms),Color
,49,0,0,21,18.5,35.710411938276124,38.742785191834145,#3498db
,59,0,0,21,18.5,35.31609793266935,43.3907076886873,#3498db
,69,0,0,21,18.5,35.22177221048877,48.218410959379675,#3498db
,79,0,0,21,18.5,35.26218104673103,52.69486469297326,#3498db
,89,0,0,21,18.5,35.34851267894709,57.128872713495554,#3498db
,98,0,0,21,18.5,35.74301447572148,61.26619978909777,#3498db
,109,0,0,21,18.5,36.131055673794236,65.23866042979532,#3498db
,119,0,0,21,18.5,36.98310752947659,68.86532191830162,#3498db
,129,0,0,21,18.5,37.533630071798164,72.59474546631319,#3498db
,138,0,0,21,18.5,38.019522900593536,76.01549839304248,#3498db
,148,0,0,21,18.5,39.00026764195689,79.25923618758338,#3498db
,158,0,0,21,18.5,39.69341893617946,82.34294303333355,#3498db
,168,0,0,21,18.5,40.623632314994346,85.12020502557411,#3498db
,178,0,0,21,18.5,41.2067968219467,87.26093094171843,#3498db
,188,0,0,21,18.5,40.757417175613604,84.27452769977512,#3498db
,198,0,0,21,18.5,39.17927971507822,81.35282869654215,#3498db
,0,0,0,31,18.5,42.97414572023243,22.785556651725408,#f39c12
,9,0,0,31,18.5,41.0812964533712,28.683786302603384,#f39c12
,20,0,0,31,18.5,39.6634210925642,34.69595982726782,#f39c12
,30,0,0,31,18.5,38.64041625058373,40.181330889629024,#f39c12
,39,0,0,31,18.5,37.79607586821421,45.4992073748813,#f39c12
,49,0,0,31,18.5,37.34587931672202,50.822586689332795,#f39c12
,59,0,0,31,18.5,36.99460099871893,55.54773976455866,#f39c12
,69,0,0,31,18.5,36.964577980591116,60.44325562893872,#f39c12
,79,0,0,31,18.5,37.091733739467095,64.8193366732643,#f39c12
,89,0,0,31,18.5,37.25639344683486,69.43604105224077,#f39c12
,99,0,0,31,18.5,37.693336087448294,73.43490587520908,#f39c12
,109,0,0,31,18.5,38.312817579553666,77.73657182827137,#f39c12
,119,0,0,31,18.5,38.83614716628391,81.5525370493898,#f39c12
,129,0,0,31,18.5,39.63844882761799,84.81701067571996,#f39c12
,139,0,0,31,18.5,40.37566317684815,88.19909986523757,#f39c12
,149,0,0,31,18.5,41.20021572189678,91.76020406514249,#f39c12
,159,0,0,31,18.5,42.2018921536905,94.7017522297596,#f39c12
,169,0,0,31,18.5,42.96223148740105,97.33733921501691,#f39c12
,179,0,0,31,18.5,43.7406677038473,99.2942077034587,#f39c12
,189,0,0,31,18.5,41.981755081899145,96.59229234011096,#f39c12
,199,0,0,31,18.5,41.00664458763588,93.25422809498673,#f39c12
,1,0,0,41,18.5,44.167454973339105,34.76812281640132,#1abc9c
