Data Number,Motor 1 Position,Motor 2 Position,Motor 3 Position,Motor 4 Position,Frequency (MHz),Real Impedance (Ohms),Imaginary Impedance (Ohms),Color
,0,0,0,192,18.5,89.82074717413498,221.7565930406822,#e74c3c
,9,0,0,192,18.5,90.82271884730908,228.36199711096313,#e74c3c
,20,0,0,192,18.5,90.30312025910155,238.3326023580688,#e74c3c
,30,0,0,192,18.5,89.48382206973224,246.44126887682023,#e74c3c
,39,0,0,192,18.5,91.05172730622387,252.05105775869603,#e74c3c
,49,0,0,192,18.5,92.48560971488877,258.62262029015596,#e74c3c
,59,0,0,192,18.5,93.58720804701096,267.1168185540114,#e74c3c
,69,0,0,192,18.5,93.26203621413511,272.3035221123839,#e74c3c
,79,0,0,192,18.5,93.84474883792906,278.74855537450986,#e74c3c
,89,0,0,192,18.5,97.14269686780443,282.1336359512882,#e74c3c
,99,0,0,192,18.5,98.27421227120628,288.8985581023524,#e74c3c
,109,0,0,192,18.5,101.88987803825886,295.302930927734,#e74c3c
,119,0,0,192,18.5,101.8923415558637,299.13096921956696,#e74c3c
,129,0,0,192,18.5,105.80589713504439,301.0401071905068,#e74c3c
,139,0,0,192,18.5,108.4712902458071,309.66256074973245,#e74c3c
,149,0,0,192,18.5,105.1607314518454,312.04571562056157,#e74c3c
,159,0,0,192,18.5,112.55558772308619,316.04188908882355,#e74c3c
,169,0,0,192,18.5,112.78948231360172,318.2218952487374,#e74c3c
,179,0,0,192,18.5,112.79710140016628,322.0560018793652,#e74c3c
,189,0,0,192,18.5,112.6177494220926,317.7852437908333,#e74c3c
,198,0,0,192,18.5,113.40939108987307,312.88624619446875,#e74c3c
,-1,0,0,201,18.5,97.3097310397619,236.1877630727256,#3498db
,9,0,0,201,18.5,96.6215442019439,243.57626611869097,#3498db
,19,0,0,201,18.5,95.65764841021515,252.91967345895392,#3498db
,29,0,0,201,18.5,95.9424084793989,258.47150075920007,#3498db
,39,0,0,201,18.5,96.08758024586231,267.20751564182245,#3498db
,48,0,0,201,18.5,97.86548003991241,275.0334031506334,#3498db
,59,0,0,201,18.5,98.8035880225471,282.31775156909026,#3498db
,69,0,0,201,18.5,99.14142547793324,288.45804485600934,#3498db
,79,0,0,201,18.5,103.20300392123805,295.0472821784502,#3498db
,89,0,0,201,18.5,103.84307927754553,301.58862376109926,#3498db
,98,0,0,201,18.5,105.78031495171469,305.27029252389514,#3498db
,108,0,0,201,18.5,105.52245097650896,311.7233719272332,#3498db
,118,0,0,201,18.5,110.62551307816496,315.19103286553,#3498db
,129,0,0,201,18.5,110.60062666218076,319.7386944239834,#3498db
,138,0,0,201,18.5,112.20515874539188,327.70433802674853,#3498db
,148,0,0,201,18.5,116.48258623795667,327.07471033906904,#3498db
,158,0,0,201,18.5,117.2339312132941,335.91486739063686,#3498db
,168,0,0,201,18.5,120.36437878276497,336.6310296104962,#3498db
,178,0,0,201,18.5,123.25091192586385,336.9857109803024,#3498db
,188,0,0,201,18.5,123.42751525107725,336.11354469150666,#3498db
,198,0,0,201,18.5,116.76599092628226,328.7580778300711,#3498db
